
fips,county,copd_rate,diabetes_rate,hypertension_rate,obesity_rate,county_full,population,poverty_rate,unemployment_rate,no_hs_diploma_rate,uninsured_rate,no_vehicle_rate,svi_score
28109,Pearl River,9.3,14.4,42.8,38.0,Pearl River,56351,26.3,5.6,13.1,13.1,2.9,0.1481
28111,Perry,10.2,16.2,46.7,43.7,Perry,11511,35.2,6.3,14.1,14.1,4.5,0.321
28113,Pike,10.5,18.9,50.2,46.0,Pike,40098,40.8,7.2,17.3,12.7,6.8,0.8395
28115,Pontotoc,8.6,13.8,42.0,38.9,Pontotoc,31202,28.1,2.9,19.9,12.0,3.3,0.1728
28117,Prentiss,9.1,13.9,41.9,40.5,Prentiss,24945,31.2,5.0,16.5,8.8,5.9,0.1235
28119,Quitman,12.4,22.8,54.8,51.2,Quitman,6113,47.8,12.2,24.8,15.8,14.6,0.8519
28121,Rankin,6.4,12.1,40.7,36.6,Rankin,157185,15.7,4.4,10.0,9.3,2.4,0.0123
28123,Scott,10.5,18.3,46.7,43.4,Scott,27943,40.7,6.0,22.3,13.3,8.1,0.7531
28125,Sharkey,13.3,25.2,58.4,50.3,Sharkey,3910,49.1,12.8,20.3,20.3,15.1,0.9383
28127,Simpson,9.4,16.2,46.2,40.2,Simpson,25889,27.8,6.0,19.9,12.7,4.4,0.2963
28129,Smith,11.0,16.9,48.5,43.6,Smith,14310,32.1,3.5,18.0,15.0,6.8,0.358
28131,Stone,8.6,14.0,43.0,41.0,Stone,18360,30.5,8.1,14.4,12.5,6.9,0.4074
28133,Sunflower,10.1,19.3,50.4,48.6,Sunflower,25867,41.8,11.1,23.0,11.6,9.3,0.8272
28135,Tallahatchie,10.2,18.9,50.7,44.9,Tallahatchie,12621,40.0,11.0,21.9,15.9,10.8,0.8148
28137,Tate,8.1,14.2,41.8,36.1,Tate,28094,28.3,7.2,16.5,12.9,4.0,0.5185
28139,Tippah,9.8,15.3,43.5,43.3,Tippah,21769,33.6,6.0,20.7,14.2,3.7,0.6296
28141,Tishomingo,10.7,15.0,44.5,39.5,Tishomingo,18837,32.8,3.5,18.5,12.0,5.0,0.3333
28143,Tunica,11.2,21.4,52.8,51.0,Tunica,9787,48.7,12.2,16.4,13.1,9.5,0.8765
28145,Union,9.3,14.1,43.0,41.6,Union,27880,27.0,4.1,22.4,10.1,4.1,0.2593
28147,Walthall,10.4,17.8,49.6,43.1,Walthall,13888,34.6,6.5,18.5,10.4,5.5,0.5802
28149,Warren,8.2,16.2,46.4,43.8,Warren,44341,26.7,4.7,12.3,11.2,6.5,0.3457
28151,Washington,11.1,21.0,53.9,44.2,Washington,44604,43.2,9.5,19.9,13.4,12.4,0.9877
28153,Wayne,10.7,17.8,47.7,44.2,Wayne,19760,35.1,8.7,17.5,18.2,6.5,0.7037
28155,Webster,8.5,13.7,43.2,36.5,Webster,9942,24.0,6.4,15.2,13.5,6.9,0.0988
28157,Wilkinson,10.5,20.6,52.9,47.4,Wilkinson,8531,41.3,6.3,14.7,9.8,6.8,0.5309
28159,Winston,11.0,19.5,50.8,41.7,Winston,17741,35.2,6.9,14.5,11.0,7.0,0.3951
28161,Yalobusha,11.4,19.0,50.7,40.1,Yalobusha,12499,35.2,5.0,15.5,13.2,6.1,0.3086
28163,Yazoo,10.7,18.5,49.5,50.5,Yazoo,27467,42.0,10.4,23.0,13.7,11.1,0.9753
